Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST,home_team,team,week,year,game_id
Player,Pos,Num,Pct,Num,Pct,Num,Pct,,,,,
Stone Forsythe,T,75,100%,0,0%,8,23%,1,Seahawks,3.0,2023,43
Jake Curhan,T,75,100%,0,0%,7,20%,1,Seahawks,3.0,2023,43
Anthony Bradford,G,75,100%,0,0%,6,17%,1,Seahawks,3.0,2023,43
Evan Brown,C,75,100%,0,0%,3,9%,1,Seahawks,3.0,2023,43
Geno Smith,QB,75,100%,0,0%,0,0%,1,Seahawks,3.0,2023,43
Damien Lewis,G,67,89%,0,0%,5,14%,1,Seahawks,3.0,2023,43
Tyler Lockett,WR,61,81%,0,0%,1,3%,1,Seahawks,3.0,2023,43
D.K. Metcalf,WR,54,72%,0,0%,1,3%,1,Seahawks,3.0,2023,43
Colby Parkinson,TE,53,71%,0,0%,13,37%,1,Seahawks,3.0,2023,43
Noah Fant,TE,47,63%,0,0%,1,3%,1,Seahawks,3.0,2023,43
Kenneth Walker III,RB,38,51%,0,0%,0,0%,1,Seahawks,3.0,2023,43
Jaxon Smith-Njigba,WR,33,44%,0,0%,0,0%,1,Seahawks,3.0,2023,43
Zach Charbonnet,RB,32,43%,0,0%,13,37%,1,Seahawks,3.0,2023,43
Jake Bobo,WR,31,41%,0,0%,6,17%,1,Seahawks,3.0,2023,43
DeeJay Dallas,RB,10,13%,0,0%,21,60%,1,Seahawks,3.0,2023,43
Ben Brown,G,8,11%,0,0%,7,20%,1,Seahawks,3.0,2023,43
Cody Thompson,WR,7,9%,0,0%,20,57%,1,Seahawks,3.0,2023,43
Brady Russell,TE,5,7%,0,0%,21,60%,1,Seahawks,3.0,2023,43
Raiqwon O'Neal,T,4,5%,0,0%,7,20%,1,Seahawks,3.0,2023,43
Bobby Wagner,LB,0,0%,79,100%,7,20%,1,Seahawks,3.0,2023,43
Devon Witherspoon,CB,0,0%,79,100%,0,0%,1,Seahawks,3.0,2023,43
Artie Burns,CB,0,0%,69,87%,20,57%,1,Seahawks,3.0,2023,43
Quandre Diggs,FS,0,0%,67,85%,0,0%,1,Seahawks,3.0,2023,43
Julian Love,SS,0,0%,67,85%,0,0%,1,Seahawks,3.0,2023,43
Jordyn Brooks,LB,0,0%,63,80%,1,3%,1,Seahawks,3.0,2023,43
Michael Jackson,CB,0,0%,62,78%,6,17%,1,Seahawks,3.0,2023,43
Boye Mafe,LB,0,0%,58,73%,6,17%,1,Seahawks,3.0,2023,43
Uchenna Nwosu,LB,0,0%,58,73%,6,17%,1,Seahawks,3.0,2023,43
Mario Edwards,DE,0,0%,42,53%,6,17%,1,Seahawks,3.0,2023,43
Jarran Reed,NT,0,0%,42,53%,0,0%,1,Seahawks,3.0,2023,43
Derick Hall,LB,0,0%,33,42%,21,60%,1,Seahawks,3.0,2023,43
Dre'Mont Jones,DE,0,0%,32,41%,5,14%,1,Seahawks,3.0,2023,43
Devin Bush Jr.,LB,0,0%,26,33%,9,26%,1,Seahawks,3.0,2023,43
Myles Adams,DE,0,0%,21,27%,6,17%,1,Seahawks,3.0,2023,43
Cameron Young,NT,0,0%,21,27%,6,17%,1,Seahawks,3.0,2023,43
Tre Brown,CB,0,0%,17,22%,0,0%,1,Seahawks,3.0,2023,43
Jerrick Reed,SS,0,0%,12,15%,22,63%,1,Seahawks,3.0,2023,43
Teez Tabor,FS,0,0%,12,15%,3,9%,1,Seahawks,3.0,2023,43
Darrell Taylor,LB,0,0%,9,11%,1,3%,1,Seahawks,3.0,2023,43
Nick Bellore,LB,0,0%,0,0%,28,80%,1,Seahawks,3.0,2023,43
Jon Rhattigan,LB,0,0%,0,0%,21,60%,1,Seahawks,3.0,2023,43
Drake Thomas,LB,0,0%,0,0%,21,60%,1,Seahawks,3.0,2023,43
Jason Myers,K,0,0%,0,0%,16,46%,1,Seahawks,3.0,2023,43
Chris Stoll,LS,0,0%,0,0%,9,26%,1,Seahawks,3.0,2023,43
Michael Dickson,P,0,0%,0,0%,9,26%,1,Seahawks,3.0,2023,43
Kyu Blu Kelly,CB,0,0%,0,0%,9,26%,1,Seahawks,3.0,2023,43
Olusegun Oluwatimi,C,0,0%,0,0%,7,20%,1,Seahawks,3.0,2023,43
