Quarter,Time,Tm,Detail,WAS,CIN,week,year,game_id
1.0,11:37,Bengals,Ja'Marr Chase 41 yard pass from Joe Burrow (Evan McPherson kick),0,7,3.0,2024,48
,5:25,Commanders,Brian Robinson Jr. 1 yard rush (Austin Seibert kick),7,7,3.0,2024,48
2.0,11:31,Commanders,Austin Ekeler 24 yard rush (Austin Seibert kick),14,7,3.0,2024,48
,5:25,Bengals,Evan McPherson 28 yard field goal,14,10,3.0,2024,48
,2:04,Commanders,Jayden Daniels 4 yard rush (Austin Seibert kick),21,10,3.0,2024,48
,0:22,Bengals,Evan McPherson 31 yard field goal,21,13,3.0,2024,48
3.0,9:54,Commanders,Trenton Scott 1 yard pass from Jayden Daniels (Austin Seibert kick),28,13,3.0,2024,48
,3:03,Bengals,Andrei Iosivas 2 yard pass from Joe Burrow (Evan McPherson kick),28,20,3.0,2024,48
4.0,11:30,Commanders,Austin Seibert 42 yard field goal,31,20,3.0,2024,48
,9:42,Bengals,Ja'Marr Chase 31 yard pass from Joe Burrow (pass failed),31,26,3.0,2024,48
,2:10,Commanders,Terry McLaurin 27 yard pass from Jayden Daniels (Austin Seibert kick),38,26,3.0,2024,48
,0:40,Bengals,Zack Moss 1 yard rush (Evan McPherson kick),38,33,3.0,2024,48
